ticket_id,created_at,accepted_at,resolved_at,category,type,description,priority,assigned_to,initiator,approver,stage
ITHD_2000282,2025-12-24 10:40:38,2025-12-24 11:10:38,2025-12-24 15:56:36,Телефония,Ремонт,"Настройка двухфакторной аутентификации для входа в корпоративную ERP-систему",Средний,"Козлова Елена Анатольевна","Соколова О.П.","Федоров Е.М.",Закрыт
ITHD_2000092,2025-11-28 15:35:12,2025-11-28 15:41:12,,Телефония,Выдача и установка,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Средний,"Петрова Светлана Константиновна","Николаев В.К.",,В работе
ITHD_2000267,2025-11-24 09:33:44,2025-11-24 09:53:44,2025-11-24 15:51:51,Доступ и права,Инцидент,"Сотрудник не может войти в систему 1C после смены пароля, блокировка учётной записи",Средний,"Козлова Елена Анатольевна","Орлова Д.Ю.",,Закрыт
ITHD_2000467,2025-11-23 18:39:04,2025-11-23 19:22:04,2025-11-24 01:58:32,Сервер и СХД,Инцидент,"Требуется настройка VPN-подключения для удалённой работы нового сотрудника",Средний,"Михайлов Тимур Павлович","Попова Е.С.","Семенова Н.Г.",Закрыт
ITHD_2000443,2025-12-24 16:26:54,2025-12-24 16:37:54,2025-12-24 18:47:38,Сетевое оборудование,Настройка,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Средний,"Михайлов Тимур Павлович","Николаев В.К.","Романов А.И.",Закрыт
ITHD_2000375,2026-04-18 13:33:34,2026-04-18 14:02:34,2026-04-18 19:33:27,Телефония,Настройка,"Подключение нового ноутбука к корпоративному Wi-Fi, проблема с аутентификацией",Низкий,"Новикова Регина Вячеславовна","Соколова О.П.",,Закрыт
ITHD_2000027,2025-12-17 11:47:12,2025-12-17 12:29:12,2025-12-17 19:48:59,Сетевое оборудование,Консультация,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Высокий,"Иванов Алексей Николаевич","Смирнов И.И.",,Закрыт
ITHD_2000487,2025-12-05 09:02:11,2025-12-05 09:07:11,2025-12-05 12:00:35,Доступ и права,Инцидент,"Подключение нового ноутбука к корпоративному Wi-Fi, проблема с аутентификацией",Низкий,"Михайлов Тимур Павлович","Орлова Д.Ю.","Федоров Е.М.",Закрыт
ITHD_2000490,2025-10-04 09:33:42,2025-10-04 10:14:42,2025-10-04 15:21:02,Доступ и права,Ремонт,"Установка и обновление антивирусного ПО на рабочих станциях отдела кадров",Низкий,"Михайлов Тимур Павлович","Смирнов И.И.",,Закрыт
ITHD_2000006,2026-02-18 17:41:50,2026-02-18 18:01:50,2026-02-19 04:24:24,Программное обеспечение,Инцидент,"Расширение прав доступа к файловому серверу для группы аналитиков данных",Критичный,"Иванов Алексей Николаевич","Смирнов И.И.",,Закрыт
ITHD_2000050,2025-11-30 22:14:29,2025-11-30 22:22:29,2025-12-01 04:18:19,Компьютеры и периферия,Запрос,"Замена клавиатуры и мыши на рабочем месте, старое оборудование вышло из строя",Низкий,"Иванов Алексей Николаевич","Беляев Р.Т.","Федоров Е.М.",Закрыт
ITHD_2000341,2026-01-11 12:38:45,2026-01-11 13:02:45,2026-01-11 15:22:45,Компьютеры и периферия,Выдача и установка,"Замена вышедшего из строя блока питания в рабочей станции инженерного отдела",Средний,"Морозов Дмитрий Олегович","Жуков С.Н.","Романов А.И.",Решён
ITHD_2000264,2026-03-17 10:37:14,2026-03-17 10:42:14,2026-03-17 14:02:11,Доступ и права,Настройка,"Настройка почтового клиента Outlook для нового сотрудника отдела бухгалтерии",Средний,"Козлова Елена Анатольевна","Смирнов И.И.","Федоров Е.М.",Закрыт
ITHD_2000320,2026-03-03 13:05:19,2026-03-03 13:12:19,2026-03-03 16:58:48,Программное обеспечение,Выдача и установка,"Обновление прошивки сетевого коммутатора в серверной комнате, плановые работы",Средний,"Морозов Дмитрий Олегович","Беляев Р.Т.",,Закрыт
ITHD_2000155,2025-11-25 11:23:29,2025-11-25 11:30:29,2025-11-25 16:54:19,Сетевое оборудование,Ремонт,"Перенос пользовательских данных и настроек с устаревшего компьютера на новый",Средний,"Сидоров Владимир Григорьевич","Беляев Р.Т.",,Закрыт
ITHD_2000038,2026-03-08 19:59:09,2026-03-08 20:13:09,2026-03-09 08:23:08,Компьютеры и периферия,Настройка,"Установка и обновление антивирусного ПО на рабочих станциях отдела кадров",Средний,"Иванов Алексей Николаевич","Соколова О.П.","Федоров Е.М.",Закрыт
ITHD_2000126,2026-01-07 17:11:23,2026-01-07 17:24:23,2026-01-08 04:01:37,Компьютеры и периферия,Запрос,"Не работает IP-телефон на рабочем месте руководителя проектов, нет тонального сигнала",Средний,"Петрова Светлана Константиновна","Захарова Л.А.",,Закрыт
ITHD_2000334,2025-11-30 12:58:44,2025-11-30 13:29:44,2025-11-30 19:55:15,Компьютеры и периферия,Консультация,"Проблема с запуском специализированного ПО AutoCAD, ошибка лицензирования",Средний,"Морозов Дмитрий Олегович","Смирнов И.И.","Романов А.И.",Закрыт
ITHD_2000022,2025-12-09 22:32:05,2025-12-09 22:38:05,2025-12-10 06:38:03,Компьютеры и периферия,Выдача и установка,"Восстановление случайно удалённых файлов проекта из резервной копии NAS",Средний,"Иванов Алексей Николаевич","Соколова О.П.","Семенова Н.Г.",Закрыт
ITHD_2000261,2026-03-17 18:17:47,2026-03-17 18:30:47,2026-03-17 22:47:09,Программное обеспечение,Инцидент,"Расширение прав доступа к файловому серверу для группы аналитиков данных",Высокий,"Козлова Елена Анатольевна","Кузнецов А.В.","Романов А.И.",Закрыт
ITHD_2000379,2026-04-05 18:52:39,2026-04-05 19:19:39,,Телефония,Ремонт,"Добавление нового пользователя в Active Directory и настройка групповых политик",Низкий,"Новикова Регина Вячеславовна","Жуков С.Н.",,Ожидание клиента
ITHD_2000233,2025-10-03 09:02:02,2025-10-03 09:19:02,2025-10-03 15:27:34,Программное обеспечение,Инцидент,"Необходима установка Microsoft Office 365 на новое рабочее место в отделе продаж",Высокий,"Козлова Елена Анатольевна","Беляев Р.Т.","Федоров Е.М.",Закрыт
ITHD_2000064,2025-11-04 20:46:53,2025-11-04 21:02:53,,Телефония,Инцидент,"Обновление прошивки сетевого коммутатора в серверной комнате, плановые работы",Средний,"Иванов Алексей Николаевич","Волкова М.Д.","Семенова Н.Г.",В работе
ITHD_2000043,2025-11-03 16:56:39,2025-11-03 17:20:39,2025-11-03 21:59:54,Сетевое оборудование,Консультация,"Неисправен монитор, вертикальная полоса на экране, требуется замена",Низкий,"Иванов Алексей Николаевич","Захарова Л.А.",,Закрыт
ITHD_2000151,2026-03-11 13:10:58,2026-03-11 13:39:58,2026-03-11 19:18:37,Телефония,Инцидент,"Подключение нового ноутбука к корпоративному Wi-Fi, проблема с аутентификацией",Средний,"Петрова Светлана Константиновна","Орлова Д.Ю.","Семенова Н.Г.",Закрыт
ITHD_2000397,2025-12-12 17:55:24,2025-12-12 18:09:24,2025-12-12 22:54:04,Телефония,Выдача и установка,"Медленная работа корпоративной сети в отделе закупок, скорость менее 1 Мбит/с",Высокий,"Новикова Регина Вячеславовна","Смирнов И.И.","Семенова Н.Г.",Закрыт
ITHD_2000109,2025-12-11 15:42:39,2025-12-11 16:27:39,2025-12-12 02:13:42,Сервер и СХД,Настройка,"Установка и обновление антивирусного ПО на рабочих станциях отдела кадров",Высокий,"Петрова Светлана Константиновна","Кузнецов А.В.",,Закрыт
ITHD_2000120,2026-03-31 07:27:02,2026-03-31 07:41:02,2026-03-31 16:37:37,Компьютеры и периферия,Запрос,"Расширение прав доступа к файловому серверу для группы аналитиков данных",Низкий,"Петрова Светлана Константиновна","Смирнов И.И.","Федоров Е.М.",Закрыт
